Ranking,Institution,Year
1,"Massachusetts Institute of Technology, MIT",2015
2,Imperial College London,2015
2,University of Cambridge,2015
4,Harvard University,2015
5,University College London,2015
5,University of Oxford,2015
7,Stanford University,2015
8,"California Institute of Technology, Caltech",2015
9,Princeton University,2015
10,Yale University,2015
11,University of Chicago,2015
12,"Swiss Federal Institute of Technology Zurich, ETHZ",2015
13,University of Pennsylvania,2015
14,Johns Hopkins University,2015
14,Columbia University,2015
16,King’s College London,2015
17,"Swiss Federal Institute of Technology Lausanne, EPFL",2015
17,University of Edinburgh,2015
19,Cornell University,2015
20,University of Toronto,2015
21,McGill University,2015
22,National University of Singapore,2015
23,University of Michigan - Ann Arbor,2015
24,Ecole Normale Supérieure de Paris,2015
25,Australian National University,2015
25,Duke University,2015
27,"University of California, Berkeley",2015
28,University of Hong Kong,2015
29,University of Bristol,2015
30,University of Manchester,2015
31,The University of Tokyo,2015
31,Seoul National University,2015
33,University of Melbourne,2015
34,Northwestern University,2015
35,Ecole Polytechnique,2015
36,Kyoto University,2015
37,University of Sydney,2015
37,"University of California, Los Angeles",2015
39,Nanyang Technological University,2015
40,Hong Kong University of Science and Technology,2015
41,New York University,2015
41,University of Wisconsin-Madison,2015
43,University of Queensland,2015
43,University of British Columbia,2015
45,University of Copenhagen,2015
46,Chinese University of Hong Kong,2015
47,Tsinghua University,2015
48,University of New South Wales,2015
49,University of Heidelberg,2015
50,University of Amsterdam,2015
51,Korea Advanced Institute of Science and Technology,2015
52,University of München,2015
52,Brown University,2015
54,Technical University of München,2015
55,Osaka University,2015
55,University of Glasgow,2015
57,Peking University,2015
57,University of Zurich,2015
59,"University of California, San Diego",2015
60,Lund University,2015
61,University of Warwick,2015
62,University of North Carolina at Chapel Hill,2015
63,University of Illinois at Urbana-Champaign,2015
64,University of Birmingham,2015
65,Carnegie Mellon University,2015
65,University of Washington,2015
67,University of Helsinki,2015
68,Tokyo Institute of Technology,2015
69,University of Sheffield,2015
70,Monash University,2015
71,Fudan University,2015
71,Trinity College Dublin,2015
71,Tohoku University,2015
71,London School of Economics,2015
75,University of Leiden,2015
76,National Taiwan University,2015
77,University of Nottingham,2015
78,Boston University,2015
79,University of Texas at Austin,2015
80,Utrecht University,2015
81,Uppsala University,2015
82,Catholic University of Leuven,2015
83,University of Montreal,2015
84,University of Alberta,2015
85,University of Geneva,2015
86,Pohang University of Science and Technology,2015
86,Delft University of Technology,2015
88,University of St. Andrews,2015
89,University of Western Australia,2015
90,Erasmus University Rotterdam,2015
90,University of Groningen,2015
92,University of Auckland,2015
92,University of Durham,2015
94,University of Southampton,2015
95,"University of California, Davis",2015
96,Aarhus University,2015
97,University of Leeds,2015
98,"Queen Mary, University of London",2015
99,Washington University in St. Louis,2015
100,University of Adelaide,2015
101,University of Oslo,2015
102,Purdue University,2015
103,Nagoya University,2015
104,Shanghai Jiao Tong University,2015
105,University of Lausanne,2015
106,Yonsei University,2015
107,Georgia Institute of Technology,2015
108,City University of Hong Kong,2015
109,Ohio State University,2015
110,KTH - Royal Institute of Technology,2015
111,University of Pittsburgh,2015
112,Pennsylvania State University,2015
113,McMaster University,2015
114,Moscow State University,2015
115,University Pierre et Marie Curie (Paris VI),2015
116,University of Basel,2015
116,Korea University,2015
118,University of Maastricht,2015
119,University of Minnesota - Twin Cities,2015
120,University of York,2015
121,University of Freiburg,2015
122,University of Maryland at College Park,2015
123,Technical University of Denmark,2015
123,Cardiff University,2015
123,University of Liverpool,2015
126,Kyushu University,2015
127,"Newcastle University, Newcastle-upon-Tyne",2015
127,Karlsruhe Institute of Technology,2015
129,University of Gent,2015
129,Rice University,2015
131,University of Southern California,2015
132,University of Sao Paulo,2015
132,"University of California, Santa Barbara",2015
134,Humboldt University of Berlin,2015
135,Hokkaido University,2015
136,Dartmouth College,2015
137,University of Aberdeen,2015
138,Hebrew University of Jerusalem,2015
139,University College Dublin,2015
140,Sungkyunkwan University,2015
141,University of Tübingen,2015
141,University of Cape Town,2015
141,University of Virginia,2015
144,Zhejiang University,2015
145,University of Bern,2015
146,University of Göttingen,2015
147,University of Science and Technology of China,2015
147,Eindhoven University of Technology,2015
147,RWTH Aachen University,2015
150,Free University of Berlin,2015
151,University of Malaya,2015
151,Wageningen University & Research Center,2015
153,"University of California, Irvine",2015
154,Catholic University of Louvain,2015
155,University of Bergen,2015
156,University of Vienna,2015
156,Radboud University of Nijmegen,2015
156,Emory University,2015
159,University of Otago,2015
160,Lancaster University,2015
161,University of Exeter,2015
162,Nanjing University,2015
162,Hong Kong Polytechnic University,2015
164,University of Rochester,2015
165,Texas A&M University,2015
166,University of Barcelona,2015
167,Pontifical Catholic University of Chile,2015
167,National Tsinghua University,2015
169,University of Waterloo,2015
170,Queen’s University Belfast,2015
171,University of Calgary,2015
171,VU University Amsterdam,2015
173,Université Libre de Bruxelles,2015
173,Autonomous University of Barcelona,2015
175,National Autonomous University of Mexico,2015
175,Chalmers University of Technology,2015
177,University of Bonn,2015
178,Autonomous University of Madrid,2015
179,Ecole Normale Supérieure de Lyon,2015
179,University of Bath,2015
181,Vrije Universiteit Brussel,2015
182,University of Bologna,2015
182,Stockholm University,2015
182,University of Colorado at Boulder,2015
182,Vanderbilt University,2015
186,University of Illinois at Chicago,2015
187,Queen’s University,2015
187,Aalto University,2015
189,Case Western Reserve University,2015
190,Technion - Israel Institute of Technology,2015
191,Western University,2015
192,Technical University of Berlin,2015
192,University of Hamburg,2015
192,University of Florida,2015
195,Tel Aviv University,2015
195,Michigan State University,2015
197,Keio University,2015
198,University of Buenos Aires,2015
198,Tsukuba University,2015
200,University of Sussex,2015
200,Georgetown University,2015
202,University of Rome - La Sapienza,2015
202,National Chiao Tung University,2015
202,University of Reading,2015
205,University of Antwerp,2015
206,State University of Campinas,2015
206,Göteborg University,2015
208,University of Turku,2015
209,Université Paris-Saclay,2015
210,University Denis Diderot (Paris VII),2015
211,University of Leicester,2015
212,Complutense University of Madrid,2015
212,University of Twente,2015
214,Tufts University,2015
215,University Joseph Fourier - Grenoble I,2015
215,University of Arizona,2015
217,University of Frankfurt am Main,2015
218,University of Ottawa,2015
219,Hanyang University,2015
220,University of Chile,2015
220,Waseda University,2015
222,Simon Fraser University,2015
222,"Sciences Po, Paris",2015
222,"Indian Institute of Technology, Bombay",2015
225,King Fahd University of Petroleum & Minerals,2015
226,University of Strasbourg,2015
227,University Paris-Sorbonne (Paris IV),2015
228,University Panthéon-Sorbonne (Paris I),2015
229,Polytechnic University of Milan,2015
230,University College Cork,2015
230,University of Dundee,2015
232,National Cheng Kung University,2015
233,St. Petersburg State University,2015
234,Technical University of Dresden,2015
235,Dalhousie University,2015
235,"Indian Institute of Technology, Delhi",2015
237,University of Notre Dame,2015
238,University of Milan,2015
239,University of Miami,2015
240,Beijing Normal University,2015
240,University of East Anglia,2015
242,University of Canterbury,2015
243,Chulalongkorn University,2015
244,Charles University Prague,2015
245,University of Pisa,2015
246,Vienna University of Technology,2015
246,Norwegian University of Science and Technology,2015
246,University of Strathclyde,2015
249,University of Ulm,2015
249,University of Münster,2015
249,American University of Beirut,2015
249,King Saud University,2015
253,Monterrey Institute of Technology and Higher Education,2015
254,Macquarie University,2015
254,University of Navarra,2015
256,National Yang-Ming University,2015
257,"University of Newcastle, Australia",2015
257,Mahidol University,2015
259,University of Oulu,2015
259,National University of Malaysia,2015
261,"University of California, Riverside",2015
262,University of Los Andes,2015
262,University of Padua,2015
264,University of Technology Sydney,2015
265,Loughborough University,2015
265,"University of California, Santa Cruz",2015
267,Umea University,2015
267,University of Eastern Finland,2015
269,Technical University of Darmstadt,2015
269,University of Iowa,2015
271,Federal University of Rio de Janeiro,2015
272,University of Liège,2015
272,Indiana University at Bloomington,2015
274,University of Stuttgart,2015
275,Kyung Hee University,2015
275,Victoria University of Wellington,2015
275,"Royal Holloway, University of London",2015
278,University René Descartes (Paris V),2015
279,"Rutgers, The State University of New Jersey",2015
280,"National University of Ireland, Galway",2015
280,Yeshiva University,2015
282,"University of Massachusetts, Amherst",2015
283,University of Wollongong,2015
283,Linkoping University,2015
285,Queensland University of Technology,2015
285,University of Erlangen-Nürnberg,2015
287,Austral University,2015
288,University of Innsbruck,2015
289,University of Leipzig,2015
290,University of Victoria,2015
290,Ecole des Ponts ParisTech,2015
292,Ben-Gurion University of the Negev,2015
293,University of Porto,2015
294,Kobe University,2015
294,Tokyo Medical and Dental University,2015
294,"University of Technology, Malaysia",2015
294,Arizona State University,2015
298,Laval University,2015
298,University Pompeu Fabra,2015
300,University of Mainz,2015
300,"Indian Institute of Technology, Kanpur",2015
300,George Washington University,2015
300,State University of New York at Buffalo,2015
304,RMIT University,2015
305,University of Cologne,2015
305,University of Rome - Tor Vergata,2015
305,Al-Farabi Kazakh National University,2015
308,University of Southern Denmark,2015
309,"University of Science, Malaysia",2015
310,University of Konstanz,2015
310,University of Indonesia,2015
312,New University of Lisbon,2015
313,University of Utah,2015
314,Hiroshima University,2015
314,University of Surrey,2015
316,National University of Colombia,2015
316,Brandeis University,2015
318,Hong Kong Baptist University,2015
318,University of Witwatersrand,2015
318,University of Jyvaskyla,2015
321,Sun Yat-Sen University,2015
322,"Indian Institute of Technology, Madras",2015
322,Bauman Moscow State Technical University,2015
324,Griffith University,2015
324,"Indian Institute of Technology, Kharagpur",2015
324,University of Hawaii at Manoa,2015
324,L.N. Gumilyov Eurasian National University,2015
328,Nankai University,2015
328,University of Mannheim,2015
328,Novosibirsk State University,2015
331,Curtin University,2015
331,"School of Oriental and African Studies, University of London",2015
333,University of South Australia,2015
334,King Abdulaziz University,2015
335,Wuhan University,2015
335,University of Warsaw,2015
337,Polytechnic University of Catalonia,2015
338,Ecole Normale Supérieure de Cachan,2015
338,Wake Forest University,2015
338,Uit the Arctic University of Norway,2015
341,University of Würzburg,2015
341,City University London,2015
341,Boston College,2015
341,Aix-Marseille University,2015
345,University of Naples Federico II,2015
346,Massey University,2015
347,Pontificia Universidad Javeriana,2015
348,University of Bremen,2015
348,Iowa State University,2015
350,James Cook University,2015
351,University of Coimbra,2015
352,University of Florence,2015
352,Heriot-Watt University,2015
352,State University of New York at Stony Brook,2015
355,University Carlos III de Madrid,2015
355,Ewha Womans University,2015
355,Brunel University,2015
355,Virginia Polytechnic Institute and State University,2015
359,Rensselaer Polytechnic Institute,2015
360,Deakin University,2015
360,American University in Cairo,2015
362,Tampere University of Technology,2015
363,Aalborg University,2015
363,University of Bordeaux,2015
365,Polytechnic University of Turin,2015
366,Dublin City University,2015
367,University Paris-Dauphine (Paris IX),2015
367,Tilburg University,2015
367,University of the Philippines Manila,2015
370,University of Essex,2015
371,University of Pavia,2015
371,Jagiellonian University,2015
371,National Taiwan University of Science and Technology,2015
371,University of Kansas,2015
375,University of Mississippi,2015
376,University of Putra Malaysia,2015
377,Catholic University of the Sacred Heart,2015
377,University of Texas at Dallas,2015
379,Xi’an Jiaotong University,2015
379,University of Tartu,2015
379,Taipei Medical University,2015
379,Oxford Brookes University,2015
379,Washington State University,2015
384,Sogang University,2015
385,United Arab Emirates University,2015
385,Technical University of Madrid,2015
385,University of Tampere,2015
388,University of Bochum,2015
388,North Carolina State University,2015
390,American University of Sharjah,2015
390,Aston University,2015
390,University of Stellenbosch,2015
393,Tongji University,2015
394,University of Turin,2015
395,University of Regensburg,2015
396,University of Kiel,2015
397,University of Jena,2015
397,University of New Mexico,2015
399,Moscow State Institute of International Relations,2015
399,Bilkent University,2015
399,Bogazici University,2015
399,Northeastern University,2015
401,Buenos Aires Institute of Technology,2015
401,La Trobe University,2015
401,University of Tasmania,2015
401,Institut National des Sciences Appliquées de Lyon,2015
401,University Claude Bernard - Lyon I,2015
401,University of Waikato,2015
401,Middle East Technical University,2015
401,National Central University,2015
401,University of Connecticut,2015
401,Pontifical Catholic University Argentina,2015
411,University of Graz,2015
411,Czech Technical University of Prague,2015
411,University of Düsseldorf,2015
411,University of Montpellier II,2015
411,University of Trento,2015
411,Lincoln University,2015
411,Moscow Institute of Physics and Technology,2015
411,National Taiwan Normal University,2015
421,University of San Andres,2015
421,Sao Paulo State University,2015
421,Federal University of Sao Paulo,2015
421,York University,2015
421,University of St.Gallen,2015
421,University of Hannover,2015
421,Polytechnic University of Valencia,2015
421,University of Delhi,2015
421,Tulane University,2015
421,Taras Shevchenko National University of Kyiv,2015
431,University of Guelph,2015
431,Pusan National University,2015
431,Chang Gung University,2015
431,National Sun Yat-Sen University,2015
431,"Birkbeck, University of London",2015
431,University of Delaware,2015
431,American University,2015
431,University of Georgia,2015
431,Illinois Institute of Technology,2015
431,University of Tennessee - Knoxville,2015
441,University of Sherbrooke,2015
441,Xiamen University,2015
441,Saarland University,2015
441,Abo Akademi University,2015
441,University Paul Sabatier - Toulouse III,2015
441,National Technical University of Athens,2015
441,Tokyo Metropolitan University,2015
441,Chung-Ang University,2015
441,Colorado State University,2015
441,Khalifa University,2015
451,National University de La Plata,2015
451,Federal University of Minas Gerais,2015
451,University of Santiago de Chile,2015
451,Beihang University,2015
451,University of Crete,2015
451,University of Kent at Canterbury,2015
451,Florida State University,2015
451,"University of Missouri, Columbia",2015
451,University of Oklahoma,2015
451,Oregon State University,2015
461,University of Belgrano,2015
461,Concordia University,2015
461,Renmin University of China,2015
461,University of Granada,2015
461,Aristotle University of Thessaloniki,2015
461,Institute of Technology Bandung,2015
461,"Indian Institute of Technology, Roorkee",2015
461,Ateneo de Manila University,2015
461,Koc University,2015
461,Swansea University,2015
471,Bond University,2015
471,Federal University of Rio Grande do Sul,2015
471,University of Siena,2015
471,Peoples’ Friendship University of Russia,2015
471,Sabanci University,2015
471,Bangor University,2015
471,Catholic University Andres Bello,2015
471,University of Pretoria,2015
471,City University of New York,2015
471,University of Cincinnati,2015
481,Flinders University,2015
481,University of Saskatchewan,2015
481,Harbin Institute of Technology,2015
481,Huazhong University of Science and Technology,2015
481,University of Costa Rica,2015
481,University of Bayreuth,2015
481,University of Salamanca,2015
481,University Lille I,2015
481,Hankuk University of Foreign Studies,2015
481,"National University of Sciences and Technology, Islamabad",2015
481,University of South Florida,2015
481,University of Vermont,2015
481,St Petersburg State Politecnical University,2015
481,National Research Nuclear University,2015
481,V.N. Karazin Kharkiv National University,2015
491,Belarusian State University,2015
491,University of Marburg,2015
491,University of Athens,2015
491,Chiba University,2015
491,Tomsk State University,2015
491,Technical University of Dortmund,2015
501,National University de Córdoba,2015
501,Arabian Gulf University,2015
501,Pontifical Catholic University of Rio de Janeiro,2015
501,Carleton University,2015
501,University of Manitoba,2015
501,University of Quebec,2015
501,Beijing Institute of Technology,2015
501,East China Normal University,2015
501,Jilin University,2015
501,Shanghai University,2015
501,Tianjin University,2015
501,University of Antioquía,2015
501,University of Duisburg-Essen,2015
501,Technical University of Braunschweig,2015
501,University of Bielefeld,2015
501,University of Seville,2015
501,University of Valencia,2015
501,University of Zaragoza,2015
501,University Panthéon-Assas (Paris II),2015
501,University of Montpellier I,2015
501,University of Nice-Sophia Antipolis,2015
501,University of Limerick,2015
501,University of Milan - Bicocca,2015
501,Kanazawa University,2015
501,Okayama University,2015
501,Yokohama City University,2015
501,Catholic University of Korea,2015
501,International Islamic University Malaysia,2015
501,Auckland University of Technology,2015
501,Pontifical Catholic University of Perú,2015
501,University of Lisbon,2015
501,Higher School of Economics,2015
501,Tomsk Polytechnic University,2015
501,Imam Muhammad Ibn Saud Islamic University,2015
501,University of Ljubljana,2015
501,Chiang Mai University,2015
501,Istanbul Technical University,2015
501,"National Chung Hsing University, Taipei",2015
501,"Goldsmiths College, University of London",2015
501,Keele University,2015
501,Kingston University,2015
501,University of Stirling,2015
501,University of KwaZulu-Natal,2015
501,Kansas State University,2015
501,University of Kentucky,2015
501,Louisiana State University,2015
501,University of South Carolina,2015
501,University of Alabama,2015
501,Tallinn University of Technology,2015
551,University of Sharjah,2015
551,University of Linz,2015
551,Charles Darwin University,2015
551,Murdoch University,2015
551,Swinburne University of Technology,2015
551,Pontifícia Universidade Católica de São Paulo,2015
551,Federal University of São Carlos,2015
551,University of Brasília,2015
551,Shandong University,2015
551,Southeast University,2015
551,Masaryk University,2015
551,University of Giessen,2015
551,Cairo University,2015
551,University of Santiago de Compostela,2015
551,University of Rennes I,2015
551,University of Szeged,2015
551,Gadjah Mada University,2015
551,Dublin Institute of Technology,2015
551,"Indian Institute of Technology, Guwahati",2015
551,University of Mumbai,2015
551,University of Genoa,2015
551,University of Perugia,2015
551,Nagasaki University,2015
551,Chonbuk National University,2015
551,Dongguk University,2015
551,Inha University,2015
551,Kyungpook National University,2015
551,Vilnius University,2015
551,National Polytechnic Institute,2015
551,Panamerican University,2015
551,University of Qatar,2015
551,Umm Al-Qura University,2015
551,National Taipei University of Technology,2015
551,National Technical University of Ukraine,2015
551,University of Hull,2015
551,University of Ulster,2015
551,University Central de Venezuela,2015
551,Michigan Technological University,2015
551,University of Nebraska - Lincoln,2015
551,New Jersey Institute of Technology,2015
551,University of Oregon,2015
551,Drexel University,2015
551,University of Houston,2015
551,College of William and Mary,2015
551,Virginia Commonwealth University,2015
551,University of Lorraine,2015
551,Ural Federal University,2015
551,Kazan Federal University,2015
551,Saint Joseph University of Beirut,2015
551,Ibero-American University,2015
601,University Torcuato di Tella,2015
601,Universidad de Palermo,2015
601,American University in Dubai,2015
601,Federal University of Bahia,2015
601,University Adolfo Ibáñez,2015
601,Pontifical Catholic University of Valparaiso,2015
601,University of Concepción,2015
601,University of Halle-Wittenberg,2015
601,University of Patras,2015
601,Lingnan University,2015
601,University of Zagreb,2015
601,Eötvös Lorand University,2015
601,University of Debrecen,2015
601,"National University of Ireland, Maynooth",2015
601,University of Calcutta,2015
601,Sharif University of Technology,2015
601,University of Modena,2015
601,University of Trieste,2015
601,Kumamoto University,2015
601,Osaka City University,2015
601,Tokyo University of Science,2015
601,Tokyo University of Agriculture and Technology,2015
601,Seoul University,2015
601,Anáhuac University,2015
601,University of Guadalajara,2015
601,Sultan Qaboos University,2015
601,University Peruana Cayetano Heredia,2015
601,Catholic University of Portugal,2015
601,Saratov State University,2015
601,Thammasat University,2015
601,Hacettepe University,2015
601,Istanbul University,2015
601,National Chengchi University,2015
601,University of Bradford,2015
601,Aberystwyth University,2015
601,University Simón Bolivar,2015
601,Rhodes University,2015
601,Howard University,2015
601,Loyola University of Chicago,2015
601,University of New Hampshire,2015
601,The New School,2015
601,State University of New York at Albany,2015
601,Syracuse University,2015
601,Temple University,2015
601,George Mason University,2015
601,Lehigh University,2015
601,King Khalid University,2015
601,University of Johannesburg,2015
601,Southern Federal University,2015
601,Satbayev Kazakh National Technical University,2015
1,"Massachusetts Institute of Technology, MIT",2016
2,Harvard University,2016
3,University of Cambridge,2016
3,Stanford University,2016
5,"California Institute of Technology, Caltech",2016
6,University of Oxford,2016
7,University College London,2016
8,Imperial College London,2016
9,"Swiss Federal Institute of Technology Zurich, ETHZ",2016
10,University of Chicago,2016
11,Princeton University,2016
12,National University of Singapore,2016
13,Nanyang Technological University,2016
14,"Swiss Federal Institute of Technology Lausanne, EPFL",2016
15,Yale University,2016
16,Johns Hopkins University,2016
17,Cornell University,2016
18,University of Pennsylvania,2016
19,Australian National University,2016
19,King’s College London,2016
21,University of Edinburgh,2016
22,Columbia University,2016
23,Ecole Normale Supérieure de Paris,2016
24,McGill University,2016
25,Tsinghua University,2016
26,"University of California, Berkeley",2016
27,"University of California, Los Angeles",2016
28,Hong Kong University of Science and Technology,2016
29,Duke University,2016
30,University of Hong Kong,2016
30,University of Michigan - Ann Arbor,2016
32,Northwestern University,2016
33,University of Manchester,2016
34,University of Toronto,2016
35,London School of Economics,2016
36,Seoul National University,2016
37,University of Bristol,2016
38,Kyoto University,2016
39,The University of Tokyo,2016
40,Ecole Polytechnique,2016
41,Peking University,2016
42,University of Melbourne,2016
43,Korea Advanced Institute of Science and Technology,2016
44,"University of California, San Diego",2016
45,University of Sydney,2016
46,University of New South Wales,2016
46,University of Queensland,2016
48,University of Warwick,2016
49,Brown University,2016
50,University of British Columbia,2016
51,Fudan University,2016
51,Chinese University of Hong Kong,2016
53,New York University,2016
54,University of Wisconsin-Madison,2016
55,University of Amsterdam,2016
56,Tokyo Institute of Technology,2016
57,City University of Hong Kong,2016
58,Osaka University,2016
59,University of Illinois at Urbana-Champaign,2016
60,Technical University of München,2016
61,University of Durham,2016
62,University of Glasgow,2016
62,Carnegie Mellon University,2016
64,Delft University of Technology,2016
65,University of Washington,2016
66,University of Heidelberg,2016
67,Monash University,2016
68,University of St. Andrews,2016
69,University of Copenhagen,2016
70,Shanghai Jiao Tong University,2016
70,Lund University,2016
70,National Taiwan University,2016
70,University of Nottingham,2016
74,Tohoku University,2016
75,University of München,2016
76,University of Birmingham,2016
77,University of Texas at Austin,2016
78,Trinity College Dublin,2016
79,University of North Carolina at Chapel Hill,2016
80,University of Sheffield,2016
81,University of Southampton,2016
82,Catholic University of Leuven,2016
82,University of Auckland,2016
84,Georgia Institute of Technology,2016
85,"University of California, Davis",2016
85,University of Zurich,2016
87,Pohang University of Science and Technology,2016
87,University of Leeds,2016
89,University of Geneva,2016
89,Purdue University,2016
91,Boston University,2016
92,KTH - Royal Institute of Technology,2016
93,Karlsruhe Institute of Technology,2016
94,Utrecht University,2016
95,University of Leiden,2016
96,University of Alberta,2016
96,University of Helsinki,2016
98,University of Western Australia,2016
99,Ohio State University,2016
100,University of Groningen,2016
101,Pennsylvania State University,2016
102,Uppsala University,2016
103,University of York,2016
104,Korea University,2016
105,Yonsei University,2016
106,Rice University,2016
107,Aarhus University,2016
108,Moscow State University,2016
109,"Queen Mary, University of London",2016
110,Zhejiang University,2016
110,Washington University in St. Louis,2016
112,Technical University of Denmark,2016
113,University of Adelaide,2016
113,University of Science and Technology of China,2016
115,University of Montreal,2016
116,Hong Kong Polytechnic University,2016
117,Eindhoven University of Technology,2016
118,Sungkyunkwan University,2016
119,Free University of Berlin,2016
120,Nagoya University,2016
121,Lancaster University,2016
122,Cardiff University,2016
123,University of Minnesota - Twin Cities,2016
124,University of Buenos Aires,2016
124,University of Gent,2016
126,Humboldt University of Berlin,2016
126,Erasmus University Rotterdam,2016
126,University of Maryland at College Park,2016
129,"University of California, Santa Barbara",2016
130,Nanjing University,2016
130,University of Southern California,2016
132,Chalmers University of Technology,2016
133,University of Freiburg,2016
133,University of Pittsburgh,2016
135,Wageningen University & Research Center,2016
135,University of Oslo,2016
137,University Pierre et Marie Curie (Paris VI),2016
137,University of Aberdeen,2016
139,University of Basel,2016
139,Hokkaido University,2016
139,Aalto University,2016
142,Kyushu University,2016
143,University of Sao Paulo,2016
143,University of Lausanne,2016
145,RWTH Aachen University,2016
146,University of Malaya,2016
147,Indian Institute of Science,2016
148,Hebrew University of Jerusalem,2016
149,Catholic University of Louvain,2016
149,McMaster University,2016
151,University of Liverpool,2016
152,University of Waterloo,2016
153,University of Vienna,2016
154,University College Dublin,2016
155,National Tsinghua University,2016
156,University of Reading,2016
156,CentraleSupélec,2016
158,Dartmouth College,2016
159,University of Bath,2016
159,Texas A&M University,2016
160,National Autonomous University of Mexico,2016
161,University of Exeter,2016
162,"Newcastle University, Newcastle-upon-Tyne",2016
163,"University of California, Irvine",2016
164,Michigan State University,2016
165,Emory University,2016
166,University of Bern,2016
166,University of Barcelona,2016
168,University of Göttingen,2016
169,University of Maastricht,2016
170,Pontifical Catholic University of Chile,2016
171,University of Cape Town,2016
172,University of Virginia,2016
173,University of Tübingen,2016
173,University of Otago,2016
175,University of Colorado at Boulder,2016
176,VU University Amsterdam,2016
177,Radboud University of Nijmegen,2016
178,Technical University of Berlin,2016
179,"Indian Institute of Technology, Delhi",2016
180,University of Florida,2016
181,University of Bergen,2016
182,Stockholm University,2016
182,National Chiao Tung University,2016
182,Queen’s University Belfast,2016
185,University of Illinois at Chicago,2016
186,Autonomous University of Madrid,2016
187,Polytechnic University of Milan,2016
187,University of Sussex,2016
188,Ecole Normale Supérieure de Lyon,2016
188,University of Twente,2016
190,Autonomous University of Barcelona,2016
190,University of Rochester,2016
192,Western University,2016
193,Hanyang University,2016
194,Vrije Universiteit Brussel,2016
195,State University of Campinas,2016
195,University of Notre Dame,2016
197,Vienna University of Technology,2016
198,Technion - Israel Institute of Technology,2016
199,King Fahd University of Petroleum & Minerals,2016
202,"Indian Institute of Technology, Bombay",2016
203,Tel Aviv University,2016
204,University of Calgary,2016
204,University of Bologna,2016
206,Queen’s University,2016
207,Université Libre de Bruxelles,2016
208,University of Antwerp,2016
209,University of Chile,2016
210,University of Bonn,2016
211,University of Canterbury,2016
212,Waseda University,2016
213,University of Rome - La Sapienza,2016
213,Georgetown University,2016
215,Case Western Reserve University,2016
216,University of Arizona,2016
216,Vanderbilt University,2016
218,University of Technology Sydney,2016
219,University of Hamburg,2016
219,Keio University,2016
219,Tsukuba University,2016
222,University Paris-Sorbonne (Paris IV),2016
223,"Sciences Po, Paris",2016
224,National Cheng Kung University,2016
225,Simon Fraser University,2016
226,Complutense University of Madrid,2016
227,Technical University of Dresden,2016
228,Loughborough University,2016
229,Macquarie University,2016
229,Victoria University of Wellington,2016
231,"Royal Holloway, University of London",2016
232,Beijing Normal University,2016
233,University of Turku,2016
233,University College Cork,2016
235,University Joseph Fourier - Grenoble I,2016
235,University of Leicester,2016
237,King Saud University,2016
238,Monterrey Institute of Technology and Higher Education,2016
239,University of East Anglia,2016
240,University Panthéon-Sorbonne (Paris I),2016
241,Université Paris-Saclay,2016
241,University of Strasbourg,2016
243,University of Wollongong,2016
243,University of Frankfurt am Main,2016
243,"University of Massachusetts, Amherst",2016
246,Technical University of Darmstadt,2016
247,Göteborg University,2016
247,University of Surrey,2016
249,University of Strathclyde,2016
249,Arizona State University,2016
251,University of Stuttgart,2016
252,Tufts University,2016
253,Chulalongkorn University,2016
254,"Indian Institute of Technology, Madras",2016
254,Norwegian University of Science and Technology,2016
256,"University of Newcastle, Australia",2016
256,University of Münster,2016
256,St. Petersburg State University,2016
259,Ben-Gurion University of the Negev,2016
260,National Taiwan University of Science and Technology,2016
261,University Denis Diderot (Paris VII),2016
261,University of Dundee,2016
263,Queensland University of Technology,2016
263,Indiana University at Bloomington,2016
265,University of Liège,2016
265,University of Navarra,2016
265,"University of California, Riverside",2016
268,American University of Beirut,2016
269,"University of California, Santa Cruz",2016
269,"Rutgers, The State University of New Jersey",2016
271,"National University of Ireland, Galway",2016
271,"Indian Institute of Technology, Kanpur",2016
273,RMIT University,2016
273,Wuhan University,2016
275,"School of Oriental and African Studies, University of London",2016
275,Al-Farabi Kazakh National University,2016
277,Dalhousie University,2016
277,Nankai University,2016
279,Charles University Prague,2016
280,University of Miami,2016
281,Hong Kong Baptist University,2016
282,Boston College,2016
283,University of Los Andes,2016
284,Curtin University,2016
284,University of Ottawa,2016
286,"Indian Institute of Technology, Kharagpur",2016
286,Linkoping University,2016
288,University of South Australia,2016
289,"University of Science, Malaysia",2016
290,National University of Colombia,2016
290,"Birkbeck, University of London",2016
291,Harbin Institute of Technology,2016
292,University of Erlangen-Nürnberg,2016
293,Ecole Normale Supérieure de Cachan,2016
293,Tilburg University,2016
295,University of Innsbruck,2016
295,University Pompeu Fabra,2016
295,Kyung Hee University,2016
295,Mahidol University,2016
299,Polytechnic University of Catalonia,2016
301,City University London,2016
303,"University of Technology, Malaysia",2016
303,University of Essex,2016
303,King Abdulaziz University,2016
306,University of Milan,2016
307,Sun Yat-Sen University,2016
308,University of Porto,2016
309,Austral University,2016
309,University of Padua,2016
309,North Carolina State University,2016
312,National University of Malaysia,2016
312,University of Iowa,2016
314,University Carlos III de Madrid,2016
314,Polytechnic University of Turin,2016
314,Ecole des Ponts ParisTech,2016
317,Novosibirsk State University,2016
318,Heriot-Watt University,2016
319,University of Victoria,2016
319,University of Konstanz,2016
319,Umea University,2016
319,University of Jyvaskyla,2016
